Oil;Lauric;Myristic;Palmitic;Stearic;Ricinoleic;Oleic;Linoleic;Linolenic;NaOH_SAP;KOH_SAP
Perilla seed oil;0;0;6;2;0;15;16;56;0.135;0.19
Rose hip oil;0;0;4;2;0;12;46;31;0.133;0.187
Linseed oil, flax;0;0;6;3;0;27;13;50;0.135;0.19
Kukui nut oil;0;0;6;2;0;20;42;29;0.135;0.189
Hemp oil;0;0;6;2;0;12;57;21;0.138;0.193
Evening primrose oil;0;0;0;0;0;0;80;9;0.135;0.19
Walnut oil;0;0;7;2;0;18;60;0;0.135;0.189
Cranberry seed oil;0;0;6;2;0;23;37;32;0.135;0.19
Safflower oil;0;0;7;0;0;15;75;0;0.137;0.192
Camellia seed oil;0;0;6;0;2;24;19;45;0.134;0.188
Poppy seed oil;0;0;10;2;0;17;69;2;0.138;0.194
Passion fruit seed oil;0;0;10;3;0;15;70;1;0.13;0.183
Borage oil;0;0;10;4;0;20;43;5;0.135;0.19
Black cumin seed oil;0;0;13;3;0;22;60;1;0.139;0.195
Sunflower oil;0;0;7;4;0;16;70;1;0.135;0.189
Soybean oil;0;0;11;5;0;24;50;8;0.136;0.191
Grapeseed oil;0;0;8;4;0;20;68;0;0.129;0.181
Pumpkin seed oil, virgin;0;0;11;8;0;33;50;0;0.139;0.195
Wheat germ oil;0;0;17;2;0;17;58;0;0.13;0.183
Cherry kernel oil avium;0;0;8;3;0;31;54;11;0.135;0.19
Corn oil;0;0;12;2;0;32;51;1;0.137;0.192
Crisco, new with palm;0;0;20;5;0;28;40;6;0.138;0.193
Tamanu oil, kamani;0;0;12;13;0;34;38;1;0.148;0.208
Sesame oil;0;0;10;5;0;40;43;0;0.134;0.188
Canola oil, rapeseed;0;0;4;2;0;61;21;9;0.133;0.186
Cottonseed oil;0;0;13;13;0;18;52;1;0.138;0.194
Peach kernel oil;0;0;6;2;0;65;25;1;0.136;0.191
Jatropha oil;0;0;9;7;0;44;34;0;0.138;0.193
Mustard oil, kachi gha;0;0;2;2;0;18;14;9;0.123;0.173
Apricot Kernel Oil;0;0;6;0;0;66;27;0;0.139;0.195
Almond Oil;0;0;7;0;0;71;18;0;0.139;0.195
Plum kernel oil;0;0;3;0;0;68;23;0;0.138;0.194
Ostrich oil;3;1;26;6;0;37;17;3;0.139;0.1946
Hazelnut oil;0;0;5;3;0;75;10;0;0.139;0.195
Canola oil, high oleic;0;0;4;2;0;74;12;4;0.133;0.186
Yangu, cape cheasnut;0;0;18;5;0;45;30;1;0.137;0.192
Argan Oil;0;1;14;0;0;46;34;1;0.136;0.191
Pistachio oil;0;0;11;1;0;63;25;0;0.133;0.186
Crisco, old;0;0;13;13;0;18;52;0;0.137;0.192
Safflower oil high oleic;0;0;5;2;0;77;15;0;0.135;0.19
Tallow bear;0;2;7;3;0;70;9;0;0.139;0.1946
Peanut oil;0;0;8;3;0;56;26;0;0.137;0.192
Oleic acid;0;0;0;0;0;99;0;0;0.144;0.202
Coffee bean oil, roasted;0;0;40;0;0;8;38;2;0.128;0.18
Avocado oil;0;0;20;2;0;58;12;0;0.133;0.186
Castor oil;0;0;0;0;90;4;4;0;0.128;0.18
Coffee bean oil, green;0;0;38;8;0;9;39;2;0.132;0.182
Olive oil;0;0;14;3;0;69;12;1;0.135;0.19
Karanja oil;0;0;6;6;0;58;15;0;0.13;0.183
Olive oil pomace;0;0;14;3;0;69;12;2;0.134;0.188
Shea oil, fractionated;0;0;6;10;0;73;11;0;0.132;0.185
Sunflower oil, high oleic;0;0;3;4;0;83;4;1;0.135;0.189
Jojoba liquid wax ester;0;0;0;0;0;12;0;0;0.066;0.092
Horse oil;0;3;26;5;0;10;20;19;0.14;0.196
Soybean, 27.5% hydro;0;0;9;15;0;41;7;1;0.136;0.191
Macadamina nut oil;0;0;9;5;0;59;2;0;0.139;0.195
Baobab oil;0;1;24;4;0;37;28;2;0.143;0.2
Marula Oil;0;0;11;7;0;75;4;0;0.137;0.192
Almond Butter;0;1;9;15;0;58;16;0;0.134;0.188
Chicken fat;0;1;25;7;0;38;21;0;0.139;0.195
Moringa oil;0;0;7;7;0;71;2;0;0.137;0.192
Avocado butter;0;0;21;10;0;53;6;2;0.133;0.187
Mowrah butter;0;0;24;22;0;36;15;0;0.138;0.194
Mango seed oil;0;0;8;27;0;52;8;1;0.135;0.19
Emu oil;0;0;23;9;0;47;8;0;0.135;0.19
Shea butter;0;0;5;40;0;48;6;0;0.128;0.179
Lard, pig tallow;0;1;28;13;0;46;6;0;0.141;0.198
Mink oil;0;0;0;0;0;0;0;0;0.14;0.196
Tallow sheep;4;10;24;13;0;26;5;0;0.138;0.194
Palm oil;0;1;44;5;0;39;10;0;0.142;0.199
Red palm butter;0;1;44;5;0;39;10;0;0.142;0.199
Palm stearin;0;2;60;5;0;26;7;0;0.142;0.199
Tallow beef;2;6;28;22;0;36;3;1;0.143;0.2
Saw palmetto extract;29;11;8;2;0;35;4;1;0.164;0.23
Mango seed butter;0;0;7;42;0;45;3;0;0.136;0.191
Saw palmetto oil;29;13;9;2;0;21;4;1;0.157;0.22
Kpangnan butter;0;0;6;44;0;49;1;0;0.136;0.191
Sal butter;0;0;6;44;0;40;2;0;0.132;0.185
Ucuuba butter;0;0;0;31;0;44;5;0;0.146;0.205
Cocoa butter;0;0;28;33;0;35;3;0;0.138;0.194
Kokum butter;0;0;4;56;0;36;1;0;0.135;0.19
Illipe butter;0;0;17;45;0;35;0;0;0.132;0.185
Tallow deer;0;1;20;24;0;30;15;3;0.138;0.193
Cohune oil;51;13;8;3;0;18;3;0;0.146;0.205
Ghee, any bovine;4;11;28;12;0;19;2;1;0.162;0.227
Milk fat, any bovine;4;11;28;12;0;19;2;1;0.162;0.227
Lanolin liquid wax;0;0;0;0;0;0;0;0;0.076;0.106
Murumuru buttter;47;26;6;3;0;15;3;0;0.192;0.275
Babassu oil;50;20;11;4;0;10;0;0;0.175;0.245
Tucuma seed butter;48;23;6;0;0;13;0;0;0.17;0.238
Coconut oil 76 degree;48;19;9;3;0;8;2;0;0.183;0.257
Beeswax;0;0;0;0;0;0;0;0;0.067;0.094
Monoi de Tahiti oil;44;16;10;3;0;0;2;0;0.182;0.255
Stearic acid;0;0;0;99;0;0;0;0;0.141;0.198
Palmitic acid;0;0;98;0;0;0;0;0;0.153;0.215
Myrstic acid;0;99;0;0;0;0;0;0;0.176;0.247
Coconut oil, fractionated;2;1;0;0;0;0;0;0;0.232;0.325
Aloe Butter;45;18;8;3;0;7;2;0;0.171;0.24